fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year
Ahmad Jamal al Madhoun,Al-Rai,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-24,https://cpj.org/data/people/ahmad-jamal-al-madhoun/,Journalist,Confirmed,,2023
Ahmad Kareem,Kurdistan TV,Iraq,Killed,Crossfire,2003-08-25,https://cpj.org/data/people/ahmad-kareem/,Journalist,Confirmed,,2003
Ahmad Mohamed Mahmoud,Al-Ta'awun,Egypt,Killed,Dangerous Assignment,2011-02-04,https://cpj.org/data/people/ahmad-mohamed-mahmoud/,Journalist,Confirmed,,2011
Ahmad Omaid Khpalwak,"Pajhwok Afghan News, BBC",Afghanistan,Killed,Crossfire,2011-07-28,https://cpj.org/data/people/ahmad-omaid-khpalwak/,Journalist,Confirmed,,2011
Ahmad Sha'ban,Al-Shaabiya,Iraq,Killed,Murder,2006-10-12,https://cpj.org/data/people/ahmad-shaban/,Journalist,Confirmed,,2006
Ahmed (aka Hakim) Takouchet,Radio Cirta,Algeria,Killed,Murder,1995-06-18,https://cpj.org/data/people/ahmed-aka-hakim-takouchet/,Journalist,Confirmed,,1995
Ahmed Abdel Gawad,"Al-Akhbar, Misr25",Egypt,Killed,Dangerous Assignment,2013-08-14,https://cpj.org/data/people/ahmed-abdel-gawad/,Journalist,Confirmed,,2013
Ahmed Abdul Samad,Dijlah TV,Iraq,Killed,Dangerous Assignment,2020-01-10,https://cpj.org/data/people/ahmed-abdul-samad/,Journalist,Confirmed,,2020
Ahmed Abu al-Hamza,"SMART News Agency, Hama Media Center",Syria,Killed,Crossfire,2015-11-06,https://cpj.org/data/people/ahmed-abu-al-hamza/,Journalist,Confirmed,,2015
Ahmed Abu Al-Rous,Fourth Estate,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-01-15,https://cpj.org/data/people/ahmed-abu-al-rous/,Journalist,Confirmed,,2025
Ahmed Abu Hussein,"Voice of the People Radio,Bisan News Agency",Israel and the Occupied Palestinian Territory,Killed,Murder,2018-04-25,https://cpj.org/data/people/ahmed-abu-hussein/,Journalist,Confirmed,,2018
Ahmed Abu Mhadi,Al-Aqsa TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-25,https://cpj.org/data/people/ahmed-abu-mhadi/,Journalist,Confirmed,,2023
Ahmed Abu Sharia,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-11-19,https://cpj.org/data/people/ahmed-abu-sharia/,Journalist,Confirmed,,2024
Ahmed Abu Skheil,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-11-09,https://cpj.org/data/people/ahmed-abu-skheil/,Journalist,Confirmed,,2024
Ahmed Adam,Al-Mada,Iraq,Killed,Murder,2005-05-15,https://cpj.org/data/people/ahmed-adam/,Journalist,Confirmed,,2005
Ahmed Addow Anshur,Shabelle Media Network,Somalia,Killed,Murder,2012-05-24,https://cpj.org/data/people/ahmed-addow-anshur/,Journalist,Confirmed,,2012
Ahmed Adnan al-Ashlaq,Shaam News Network,Syria,Killed,Crossfire,2012-05-27,https://cpj.org/data/people/ahmed-adnan-al-ashlaq/,Journalist,Confirmed,,2012
Ahmed Al Shayyah,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-01-15,https://cpj.org/data/people/ahmed-al-shayyah/,Journalist,Confirmed,,2025
Ahmed al-Assam,Freelance,Syria,Killed,Crossfire,2012-05-28,https://cpj.org/data/people/ahmed-al-assam/,Journalist,Confirmed,,2012
Ahmed Al-Helou,Quds News Network,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2025-05-15,https://cpj.org/data/people/ahmed-al-helou/,Journalist,Confirmed,,2025
Ahmed Al-Louh,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-12-15,https://cpj.org/data/people/ahmed-al-louh/,Journalist,Confirmed,,2024
Ahmed Al-Qara,Freelance,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-10,https://cpj.org/data/people/ahmed-al-qara/,Journalist,Confirmed,,2023
Ahmed al-Rubai'i,Al-Sabah,Iraq,Killed,Murder,2005-04-01,https://cpj.org/data/people/ahmed-al-rubaii/,Journalist,Confirmed,,2005
Ahmed al-Shaibani,"Yaman News, Yemen TV",Yemen,Killed,Crossfire,2016-02-16,https://cpj.org/data/people/ahmed-al-shaibani/,Journalist,Confirmed,,2016
Ahmed Assem el-Senousy,Freedom and Justice,Egypt,Killed,Dangerous Assignment,2013-07-08,https://cpj.org/data/people/ahmed-assem-el-senousy/,Journalist,Confirmed,,2013
Ahmed Azize,Aleppo News Network,Syria,Killed,Crossfire,2018-08-10,https://cpj.org/data/people/ahmed-azize/,Journalist,Confirmed,,2018
Ahmed Bdeir,Bawabat al-Hadaf,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-01-10,https://cpj.org/data/people/ahmed-bdeir/,Journalist,Confirmed,,2024
Ahmed Farah Ilyas,Universal TV,Somalia,Killed,Murder,2012-10-23,https://cpj.org/data/people/ahmed-farah-ilyas/,Journalist,Confirmed,,2012
Ahmed Hadi Naji,Associated Press Television News,Iraq,Killed,Murder,2007-01-05,https://cpj.org/data/people/ahmed-hadi-naji/,Journalist,Confirmed,,2007
Ahmed Haidar,Al-Manar Television,Lebanon,Killed,Crossfire,1993-07-26,https://cpj.org/data/people/ahmed-haidar/,Journalist,Confirmed,,1993
Ahmed Hasan Ahmed,Xinhua News Agency,Syria,Killed,Dangerous Assignment,2014-06-20,https://cpj.org/data/people/ahmed-hasan-ahmed/,Journalist,Confirmed,,2014
Ahmed Hassan Mahad,Radio Jowhar,Somalia,Killed,Crossfire,2007-05-16,https://cpj.org/data/people/ahmed-hassan-mahad/,Journalist,Confirmed,,2007
Ahmed Hussein Al-Maliki,Talafar al-Yawm,Iraq,Killed,Murder,2005-11-07,https://cpj.org/data/people/ahmed-hussein-al-maliki/,Journalist,Confirmed,,2005
Ahmed Hussein-Suale Divela,Tiger Eye Private Investigations,Ghana,Killed,Murder,2019-01-16,https://cpj.org/data/people/ahmed-hussein-suale-divela/,Journalist,Confirmed,,2019
Ahmed Ismail Hassan,Freelance,Bahrain,Killed,Dangerous Assignment,2012-03-31,https://cpj.org/data/people/ahmed-ismail-hassan/,Journalist,Confirmed,,2012
Ahmed Issaad,Algerian Television,Algeria,Killed,Murder,1994-11-30,https://cpj.org/data/people/ahmed-issaad/,Journalist,Confirmed,,1994
Ahmed Jabbar Hashim,Al-Sabah,Iraq,Killed,Murder,2005-04-01,https://cpj.org/data/people/ahmed-jabbar-hashim/,Journalist,Confirmed,,2005
Ahmed Kafi Awale,Radio of the Somali People,Somalia,Killed,Dangerous Assignment,2000-01-26,https://cpj.org/data/people/ahmed-kafi-awale/,Journalist,Confirmed,,2000
Ahmed Khaireddine,Quds Al-Youm TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-12-28,https://cpj.org/data/people/ahmed-khaireddine/,Journalist,Confirmed,,2023
Ahmed Mansour,Palestine Today,Israel and the Occupied Palestinian Territory,Killed,Murder,2025-04-07,https://cpj.org/data/people/ahmed-mansour/,Journalist,Confirmed,,2025
Ahmed Mohamed al-Mousa,Raqqa is Being Slaughtered Silently,Syria,Killed,Murder,2015-12-16,https://cpj.org/data/people/ahmed-mohamed-al-mousa/,Journalist,Confirmed,,2015
Ahmed Mohamed Shukur,Somali National TV,Somalia,Killed,Crossfire,2022-09-30,https://cpj.org/data/people/ahmed-mohamed-shukur/,Journalist,Confirmed,,2022
Ahmed Muhana al-Lami,Freelance,Iraq,Killed,Dangerous Assignment,2019-12-06,https://cpj.org/data/people/ahmed-muhana-al-lami/,Journalist,Confirmed,,2019
Ahmed Rajib Haider,Freelance,Bangladesh,Killed,Murder,2013-02-15,https://cpj.org/data/people/ahmed-rajib-haider/,Journalist,Confirmed,,2013
Ahmed Rilwan Abdulla,Minivan News,Maldives,Killed,Murder,2014-08-08,https://cpj.org/data/people/ahmed-rilwan-abdulla/,Journalist,Confirmed,,2014
Ahmed Riyadh al-Karbouli,Baghdad TV,Iraq,Killed,Murder,2006-09-18,https://cpj.org/data/people/ahmed-riyadh-al-karbouli/,Journalist,Confirmed,,2006
Ahmed Salim,Al-Sharqiya,Iraq,Killed,Murder,2008-09-13,https://cpj.org/data/people/ahmed-salim/,Journalist,Confirmed,,2008
Ahmed Shawkat,Bilah Ittijah,Iraq,Killed,Murder,2003-10-28,https://cpj.org/data/people/ahmed-shawkat/,Journalist,Confirmed,,2003
Ahmed Shehab,Sowt Al-Asra Radio (Radio Voice of the Prisoners),Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-12,https://cpj.org/data/people/ahmed-shehab/,Journalist,Confirmed,,2023
Ahmed Wael Bakri,Al-Sharqiyah,Iraq,Killed,Crossfire,2005-06-28,https://cpj.org/data/people/ahmed-wael-bakri/,Journalist,Confirmed,,2005
Ahmet Haceroğlu,Türkmeneli TV,Iraq,Killed,Crossfire,2016-10-21,https://cpj.org/data/people/ahmet-haceroglu/,Journalist,Confirmed,,2016
Ahmet Taner Kislali,Cumhuriyet,Turkey,Killed,Murder,1999-10-21,https://cpj.org/data/people/ahmet-taner-kislali/,Journalist,Confirmed,,1999
Aiyathurai Nadesan,Virakesari,Sri Lanka,Killed,Murder,2004-05-31,https://cpj.org/data/people/aiyathurai-nadesan/,Journalist,Confirmed,,2004
Ajmal Naqshbandi,Freelance,Afghanistan,Killed,Murder,2007-04-08,https://cpj.org/data/people/ajmal-naqshbandi/,Journalist,Confirmed,,2007
Akhmednabi Akhmednabiyev,Novoye Delo,Russia,Killed,Murder,2013-07-09,https://cpj.org/data/people/akhmednabi-akhmednabiyev/,Journalist,Confirmed,,2013
Akram ElShafie,Safa,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-01-05,https://cpj.org/data/people/akram-elshafie/,Journalist,Confirmed,,2024
Al-Hosseiny Abou Deif,El-Fagr,Egypt,Killed,Murder,2012-12-12,https://cpj.org/data/people/al-hosseiny-abou-deif/,Journalist,Confirmed,,2012
Al-Moutaz Bellah Ibrahim,Shaam News Network,Syria,Killed,Murder,2014-05-04,https://cpj.org/data/people/al-moutaz-bellah-ibrahim/,Journalist,Confirmed,,2014
Al-Shykh Al-Samany Saadaldyn Mousa Abdulla ‘Sheikho’,Freelance,Sudan,Killed,Dangerous Assignment,2025-05-18,https://cpj.org/data/people/al-shykh-al-samany-saadaldyn-mousa-abdulla-sheikho/,Journalist,Confirmed,,2025
Alaa Abdel-Wahab,Al-Baghdadia TV,Iraq,Killed,Crossfire,2009-05-31,https://cpj.org/data/people/alaa-abdel-wahab/,Journalist,Confirmed,,2009
Alaa Abdul-Karim al-Fartoosi,Al-Forat,Iraq,Killed,Crossfire,2008-01-29,https://cpj.org/data/people/alaa-abdul-karim-al-fartoosi/,Journalist,Confirmed,,2008
Alaa Al-Hams,SND,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-02-12,https://cpj.org/data/people/alaa-al-hams/,Journalist,Confirmed,,2024
Alaa Edward Butros,Freelance,Iraq,Killed,Murder,2013-11-24,https://cpj.org/data/people/alaa-edward-butros/,Journalist,Confirmed,,2013
Alaa Kraym (Mohammed al-Qabouni),Qaboun Media Center,Syria,Killed,Crossfire,2017-05-04,https://cpj.org/data/people/alaa-kraym-mohammed-al-qabouni/,Journalist,Confirmed,,2017
Alaa Nayef al-Khader al-Khalidi,Douma Coordination Office,Syria,Killed,Unknown,2019-07-12,https://cpj.org/data/people/alaa-nayef-al-khader-al-khalidi/,Journalist,Confirmed,,2019
Alaa Uldeen Aziz,ABC News,Iraq,Killed,Murder,2007-05-17,https://cpj.org/data/people/alaa-uldeen-aziz/,Journalist,Confirmed,,2007
Alberto Graves Chakussanga,Radio Despertar,Angola,Killed,Murder,2010-09-05,https://cpj.org/data/people/alberto-graves-chakussanga/,Journalist,Confirmed,,2010
Alberto Rivera Fernández,Frecuencia Oriental,Peru,Killed,Murder,2004-04-12,https://cpj.org/data/people/alberto-rivera-fernandez/,Journalist,Confirmed,,2004
Albino Sibia (Mano Shottas),Freelance,Mozambique,Killed,Murder,2024-12-12,https://cpj.org/data/people/albino-sibia-mano-shottas/,Journalist,Confirmed,,2024
Aleh Byabenin,Charter 97,Belarus,Killed,Murder,2010-09-03,https://cpj.org/data/people/aleh-byabenin/,Journalist,Confirmed,,2010
Alejandro Pérez,Channel 2-Frequencia Latina TV,Peru,Killed,Murder,1992-06-05,https://cpj.org/data/people/alejandro-perez/,Journalist,Confirmed,,1992
Alejandro Reblando,Manila Bulletin,Philippines,Killed,Murder,2009-11-23,https://cpj.org/data/people/alejandro-reblando/,Journalist,Confirmed,,2009
Alejandro Zenón Fonseca Estrada,EXA FM,Mexico,Killed,Murder,2008-09-24,https://cpj.org/data/people/alejandro-zenon-fonseca-estrada/,Journalist,Confirmed,,2008
Aleksandr Rastorguyev,The Investigations Management Centre (TsUR),Central African Republic,Killed,Murder,2018-07-30,https://cpj.org/data/people/aleksandr-rastorguyev/,Journalist,Confirmed,,2018
Aleksandr Sidelnikov,Lennauchfilm Studio,Russia,Killed,Dangerous Assignment,1993-10-04,https://cpj.org/data/people/aleksandr-sidelnikov/,Journalist,Confirmed,,1993
Aleksandr Smirnov,Molodyozhny Kuryer,Russia,Killed,Dangerous Assignment,1993-10-04,https://cpj.org/data/people/aleksandr-smirnov/,Journalist,Confirmed,,1993
