fullName,organizations,location,status,typeOfDeath,Date,mtpage,type,motiveConfirmed,charges,Year,Month
Mohammad Balousha,Palestine Today,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-17,https://cpj.org/data/people/mohammad-balousha/,Journalist,Confirmed,,2023,October
Mohammad Jarghoun,Smart Media,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-07,https://cpj.org/data/people/mohammad-jarghoun/,Journalist,Confirmed,,2023,October
Mohammed Abed Rabbo,Al-Manara Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-08-27,https://cpj.org/data/people/mohammed-abed-rabbo/,Journalist,Confirmed,,2024,August
Mohammed Abu Daqqa,"Freelance, Al-Hadath",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-07-29,https://cpj.org/data/people/mohammed-abu-daqqa/,Journalist,Confirmed,,2024,July
Mohammed Abu Hatab,Palestine TV,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-11-02,https://cpj.org/data/people/mohammed-abu-hatab/,Journalist,Confirmed,,2023,November
Mohammed Abu Jasser,"Al-Risala, Felesteen",Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-07-20,https://cpj.org/data/people/mohammed-abu-jasser/,Journalist,Confirmed,,2024,July
Mohammed Abu Sharia,Shams News Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-07-01,https://cpj.org/data/people/mohammed-abu-sharia/,Journalist,Confirmed,,2024,July
Mohammed Al Qrinawi,Snd News Agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2024-12-14,https://cpj.org/data/people/mohammed-al-qrinawi/,Journalist,Confirmed,,2024,December
Mohammed Al-Ladaa,Al Quds Al-Youm,Israel and the Occupied Palestinian Territory,Killed,Murder,2024-12-26,https://cpj.org/data/people/mohammed-al-ladaa/,Journalist,Confirmed,,2024,December
Mohammed Al-Salhi,Fourth Authority news agency,Israel and the Occupied Palestinian Territory,Killed,Dangerous Assignment,2023-10-07,https://cpj.org/data/people/mohammed-al-salhi/,Journalist,Confirmed,,2023,October
